903489660768337921,😂😂😂😂 RT @SenorPrepotente: Just worded differently in headline lmao  RT @WinkWestwood: It's the same shit ESPN said,Fri Sep 01 00:28:15 CDT 2017,"29.746933,-95.365219",WinkWestwood,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),"
903489816460902402,Zeke bout to get that suspension overturned bc they fucked up again,Fri Sep 01 00:28:52 CDT 2017,"29.746933,-95.365219",WinkWestwood,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),"
903490473360220160,When you're physically exhausted & ready 2 shut down but your mind is like a hyper 3yo that decides that NOW is a good time 2 get up & play.,Fri Sep 01 00:31:29 CDT 2017,"29.5337967,-95.1584492",JadedAnarchy,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),"
903490596886556672,Hug a neighbor for making Houston strong ! 💪🏻#Repost @slimthugga ・・・ I left Houston Friday on a… https://t.co/pNsJy0VAQt,Fri Sep 01 00:31:58 CDT 2017,"29.95552339,-95.58564303",Mr_Inkaholik,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),"
903490774032982016,What a day that shows the NFL being more racist than we already knew AND that they can't get domestic violence cases right,Fri Sep 01 00:32:41 CDT 2017,"29.746933,-95.365219",WinkWestwood,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),"
903490880803192833,"#BringBackObama ?🤷🏾‍♀️ @ Houston, Texas https://t.co/v67BnU8qGz",Fri Sep 01 00:33:06 CDT 2017,"29.7629,-95.3832",3XTRAordinary_,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),"
903490909089677312,@YesItsMoxey 😊,Fri Sep 01 00:33:13 CDT 2017,"29.746933,-95.365219",WinkWestwood,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),"
903490973065289728,Just posted a photo @ Blue Steel Lounge https://t.co/3xsBZVcRRa,Fri Sep 01 00:33:28 CDT 2017,"29.8886604,-95.3003922",CRITICAL5656,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),"
903491314225889280,Stop begging and chasing zeros and wait for your hero #Lovegoals @… https://t.co/BomxIE7Rbg,Fri Sep 01 00:34:50 CDT 2017,"29.7629,-95.3832",Jia77033Jeffrey,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),"
903491512339578882,To all married men: It's okay to put one of these on if you don't want your wife to get knocked… https://t.co/0QSJGu0eWL,Fri Sep 01 00:35:37 CDT 2017,"29.7629,-95.3832",rita5657,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),"
