EmilyNeves,"Can't sleep. It's been raining like this all night. @ Houston, Texas https://t.co/OoFBQgApoL",80,Greater Third Ward,0827,05,,0,2
HankOnFood,"Just posted a video @ Westside, Houston, Texas https://t.co/7VHdAeF1Lh",1,Fourth Ward,0827,05,,0,1
CompassJobBoard,"If you're looking for work in #Houston, TX, check out this #job: https://t.co/Y29fNvOnGQ #FacilitiesMgmt #Hiring",67,Central Southwest,0827,05,,0,0
johninhouston,Woke up at 430 to this and 1/2 water in the bathroom. YAY! @ The Red Dragon Lair https://t.co/x3axRwtk5O,80,Greater Third Ward,0827,05,water,1,2
DjRed_ScrewedUp,#Repost @chitakhou ・・・ Cannot stress ... DO NOT ATTEMPT TO DRIVE! Day 2 of a 5 day flood event.… https://t.co/08uuqFHDJ6,1,Fourth Ward,0827,05,flood,1,1
bassplayerPres,"Just posted a photo @ Houston, Texas https://t.co/1lZsfWMocu",30,Downtown,0827,05,,0,0
TotalTrafficHOU,Closed due to flooding. in #EastSide on I-10 Baytown E Fwy Inbound between Uvalde and Normandy #traffic https://t.co/vuUN2yElDh,5,Eldridge / West Oaks,0827,05,,0,0
USGS_TexasRain,"#USGS08074150 - Cole Ck at Deihl Rd, Houston, TX  Violent Rain (2.08 in/hr) over the last 15 minutes  https://t.co/xd9C2I9W97",46,Central Northwest,0827,05,,0,0
Dannyboy1112,#GOLFAS #TIENENHAMBRE @ La Casa Del Dannyboy https://t.co/P8vGxa17SB,1,Fourth Ward,0827,05,,0,1
Dannyboy1112,Just posted a photo @ La Casa Del Dannyboy https://t.co/APlH7d3P7e,73,Clear Lake,0827,05,,0,0
Dannyboy1112,Just posted a photo @ La Casa Del Dannyboy https://t.co/OGXSTiVYko,1,Fourth Ward,0827,05,,0,1
Dannyboy1112,Just posted a photo @ La Casa Del Dannyboy https://t.co/4sNnQasN1W,25,Memorial,0827,05,,0,0
Dannyboy1112,Just posted a photo @ La Casa Del Dannyboy https://t.co/zX1L3tO45S,5,Eldridge / West Oaks,0827,05,,0,0
Dannyboy1112,Just posted a photo @ La Casa Del Dannyboy https://t.co/cmaTiyEnEJ,30,Downtown,0827,05,,0,0
USGS_TexasFlood,"#USGS08076000 - Greens Bayou nr Houston, TX Height: 60.61ft ▲ (55ft) Flow: 17200cfs https://t.co/oiRhOw9wMG",71,Alief,0827,05,,0,0
Dannyboy1112,Just posted a photo @ La Casa Del Dannyboy https://t.co/3r7iPH2oFg,33,Golfcrest / Bellfort / Reveille,0827,05,,0,0
TotalTrafficHOU,Closed due to flooding. in #Downtown on I-45 Pierce Elevated NB between 69 and I-10 #traffic https://t.co/vuUN2yElDh,16,Lake Houston,0827,05,,0,0
DJPlayboi713,"Oh my god .. People are losing their cars in the parking lot ... @ Northeast Houston, Houston,… https://t.co/JolOxvtK5T",17,South Belt / Ellington,0827,05,people car,2,2
EDITHMCCLURE,The bayou by Atkinson Elementary on Kingspoint #hurricaneharvey… https://t.co/Bd5zU7gOkk,53,East Houston,0827,05,,0,0
ButterflyCass,"Do not get in your attic, get on roof instead. Stay on hold with 911 till they get to you. #prayfortexas #prayforhouston",53,East Houston,0827,05,,0,0
itzmejuzlo,"""Because he loves me,” says the Lord, “I will rescue him; I will protect him, for he… https://t.co/WS5c2uw1Vw",80,Greater Third Ward,0827,05,rescue,1,2
TotalTrafficHOU,Closed due to flooding. in #SouthSide on Hwy 288 S Fwy Outbound between 69 SW Fwy and Holly Hall #traffic https://t.co/vuUN2ymKeH,73,Clear Lake,0827,05,,0,0
DJPlayboi713,"Its officially flooded.... Water is knee deep @ Northeast Houston, Houston, Texas https://t.co/VuNcKpmOTj",6,Washington Avenue Coalition / Memorial Park,0827,05,water flood,2,2
LabattFoodJobs,"We're #hiring! Click to apply: Day Dry Forklift (Operations) - https://t.co/nD9wP9cxfk #warehouse #jobs #Labor #Houston, TX",42,Westbury,0827,06,,0,0
AllWMJobs,"This #job might be a great fit for you: Business Solutions Manager - https://t.co/2wlUCwRJK8 #IT #Houston, TX #Veterans #Hiring",42,Westbury,0827,06,,0,0
USGS_TexasFlood,"#USGS08068325 - Willow Ck nr Tomball, TX Height: 128.66ft ▲ (127.9ft) Flow: 2360cfs https://t.co/eZ7l1KlLpI",42,Westbury,0827,06,,0,0
