901320780486758400,"Tapped in...Urban Politicians Podcast episode 2 @ Houston, Texas https://t.co/McIwt4XEY6",tap inurban politician podcast episode texas,Sat Aug 26 00:49:54 CDT 2017,"29.7629,-95.3832",montecarloant,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",-1,null
901320949101805568,Stuck in but still getting support...ayeeee #WalkedIn🚶🚶🚶   #Repost djnanaq… https://t.co/X3AFXrjnlz,stick still getting supportayeeee djnanaq,Sat Aug 26 00:50:34 CDT 2017,"29.7629,-95.3832",MrWiredUpOhBoy,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",12,Langwood
901321238903173120,"Chill Mode during the storm.... #THAJRL325 @ Southeast Houston,… https://t.co/bre59sSusj",chill mode storm houston,Sat Aug 26 00:51:43 CDT 2017,"29.65941153,-95.31175519",THAJRL325,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",-1,null
901321845596663808,@Regrann from @yungrook_tx  -  #yungrook #justmemixtape #fiya #musicvideo #now #currently… https://t.co/sTHlq1bSwl,regrann yungrooktx,Sat Aug 26 00:54:08 CDT 2017,"29.7629,-95.3832",yungrook_tx,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",73,Clear Lake
901321897366966272,Drinking a Medusa by @CopperheadBeer @ Sarah's Treehouse — https://t.co/oZWcYBJnFL,drinking medusa copperheadbeer treehouse,Sat Aug 26 00:54:20 CDT 2017,"29.7683,-95.4145",Jaz_Wilson,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",73,Clear Lake
901321931668029440,"Son 🌞🌞🌞Lebron @ Corinthian Pointe, Houston https://t.co/h0VcAp7kE4",son lebron pointe houston,Sat Aug 26 00:54:28 CDT 2017,"29.63,-95.474",icemankurt,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",-1,null
901322236883292160,Hurricane Harvey forces shutdown of Camp Logan centennial events https://t.co/6nLkgK9wCP,hurricane harvey force shutdown camp logan centennial event,Sat Aug 26 00:55:41 CDT 2017,"29.75250053,-95.41169739",BLifeRiverOaks,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",73,Clear Lake
901322759732580352,"Want to work at SSC? We're #hiring in #Houston, TX! Click for details: https://t.co/ap3hHsRtch #FacilitiesMgmt #Job #Jobs",want work ssc click details,Sat Aug 26 00:57:46 CDT 2017,"29.7604267,-95.3698028",CompassJobBoard,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",-1,null
901322866045485056,@Regrann from @yungrook_tx  -  BITCH IS U WORKIN ?? 🤔💁👯👯💸💦💰 #Workhard #bars #vlive #twerk… https://t.co/TCKbfCqQ2l,regrann yungrooktx bitch workin,Sat Aug 26 00:58:11 CDT 2017,"29.7629,-95.3832",yungrook_tx,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",1,Fourth Ward
901323247727378433,Hurricane Harvey forces shutdown of Camp Logan centennial events https://t.co/3fLPqjKZnj,hurricane harvey force shutdown camp logan centennial event,Sat Aug 26 00:59:42 CDT 2017,"29.74920082,-95.4673996",BLifeGalleria,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",-1,null
